model, accuracy, precision, recall, f1, cluster_purity
logistic_regression, 0.976017, 0.976017, 1.000000, 0.987863, 0.976017
k_mean, 0.024060, 0.995294, 0.000146, 0.000291, 0.976081
knn, 0.954594, 0.976429, 0.977064, 0.976747, 0.976017
randomforest, 0.976017, 0.976017, 1.000000, 0.987863, 0.976017
randomCluster, 0.499979, 0.976094, 0.499972, 0.661243, 0.976081
clustering_oneColumn, 0.006979, 0.010900, 0.000248, 0.000437, 0.976081
hdbscan, 0.936376, 0.326482, 0.321963,  0.324100, 0.976081
ngdbscan, , , , , 
